Author,Story Date,Story URL,Headline,Claim URL,Claimed By,What (Claim),About Subject,About Person,Language
Sharad Prakash Asthana,22nd Aug 2023,https://www.vishvasnews.com/entertainment/fact-check-nagaland-armed-police-ir-mahila-band-performing-in-igt-10-not-manipur/,"Fact Check: इंडियाज गॉट टैलेंट-10 में नगालैंड आर्म्‍ड पुलिस की आईआर महिला बैंड ने गाया था गीत, मणिपुर से कोई संबंध नहीं",https://www.facebook.com/shortcut2.show/videos/193396907077712,FB User- शॉर्टकट 2,इंडियाज गॉट टैलेंट में प्रस्‍तुति देने वाली महिलाएं मणिपुर फोर्स की सदस्य हैं।,Manipur Force,NA,Hindi
Pallavi Mishra,31st Aug 2023,https://www.vishvasnews.com/viral/fact-check-new-scam-surfaces-under-the-guise-of-kbc/,Fact Check : नए तरीके से KBC के नाम पर किया जा रहा है घोटाला,https://www.facebook.com/search/top/?q=KBC%20Important%20Note%20Lottery%20Inquiry),Facebook page 'KBC head office number 7397763187,"आपकी लॉटरी नकली है या असली, इसकी पुष्टि के लिए इस KBC हेल्पलाइन नंबर पर कॉल करें",na,ana,Hindi
Pallavi Mishra,28th Aug 2023,https://www.vishvasnews.com/viral/fact-check-ai-generated-image-of-railway-station-decorated-with-flowers-passed-of-as-real-onam-festivities/,Fact Check: ओणम त्योहार के नाम से वायरल हो रही फूलों से सजे रेलवे स्टेशन की यह तस्वीर एआई जेनरेटेड है,https://www.facebook.com/vk.thakker/posts/6233920793400962,Facebook user Ashok Sindhu,This is a picture of a railway station in Kerala specially decorated for Onam,This is a picture of a railway station in Kerala specially decorated for Onam,This is a picture of a railway station in Kerala specially decorated for Onam,Hindi
Pallavi Mishra,24th Aug 2023,https://www.vishvasnews.com/society/fact-check-old-nasa-video-viral-as-footage-sent-bychandrayaan-3/,Fact Check : चंद्रयान-3 का बताकर नासा के पुराने वीडियो को किया गया वायरल,https://www.facebook.com/100079586472042/videos/1269561010428637/,Facebook User Sonu golden bhai,चंद्रायन 3 द्वारा चंद्रमा के अंदर का दृश्य कैप्चर किया गया,चंद्रायन 3 द्वारा चंद्रमा के अंदर का दृश्य कैप्चर किया गया,चंद्रायन 3 द्वारा चंद्रमा के अंदर का दृश्य कैप्चर किया गया,Hindi
Pallavi Mishra,23rd Aug 2023,https://www.vishvasnews.com/viral/fact-check-scenes-from-a-video-game-are-being-shared-as-chandrayaan-3/,Fact Check: एक वीडियो गेम के दृश्यों को चंद्रयान 3 का बताते हुए किया जा रहा है वायरल,https://www.facebook.com/annurag.agrawaal/videos/221560774220114/,FB user Annurag Agrawaa,"वायरल वीडियो को Annurag Agrawaal नाम के यूजर ने 21 अगस्त को शेयर किया है। पोस्ट के साथ लिखा है, “चांद के सफर से ज़्यादा मुश्किल ये सफर था चंद्रयान 3 का ये. 21 तोपों की सलामी ट्रक ड्राइवर को।",चांद के सफर से ज़्यादा मुश्किल ये सफर था चंद्रयान 3 का ये. 21 तोपों की सलामी ट्रक ड्राइवर को।,Annurag Agrawaal,Hindi
Pallavi Mishra,23rd Aug 2023,https://www.vishvasnews.com/politics/fact-check-old-photograph-of-jawaharlal-nehru-resurfaced-on-social-media-with-objectionable-false-claim/,Fact Check: जवाहरलाल नेहरू की पुरानी तस्वीर सोशल मीडिया पर आपत्तिजनक गलत दावे के साथ फिर हुई वायरल,https://www.facebook.com/photo?fbid=1186201639437652&set=a.1043548060369678,Instagram page 'raush_an3659',आजादी की भयंकर लड़ाई में बाएं गाल पर गोली खाते चचा नेहरू,आजादी की भयंकर लड़ाई में बाएं गाल पर गोली खाते चचा नेहरू,Nehru,Hindi
Pallavi Mishra,22nd Aug 2023,https://www.vishvasnews.com/scam/fact-check-the-viral-claim-that-money-is-being-sent-to-the-account-in-the-name-of-bageshwar-dham-is-fake-do-not-click-on-unverified-links/,"Fact Check: बागेश्वर धाम के नाम पर खाते में पैसे भेजे जाने वाला वायरल दावा फर्जी है, अनवेरिफाइड लिंक पर न करें क्लिक",https://www.facebook.com/permalink.php?story_fbid=pfbid0Sp3KRsEAxGfneoV2kAB4FV262NdMe4HviU9qYSBZJGjdG5pnh9f2sNFFvLy8xgrvl&id=281957820266321,फेसबुक यूजर “Bageshwar dham,"बागेश्वर धाम की तरफ से सबके खाते में ₹1,999 मुफ्त","बागेश्वर धाम की तरफ से सबके खाते में ₹1,999 मुफ्त",Bageshwar Dham,Hindi
Pallavi Mishra,21st Aug 2023,https://www.vishvasnews.com/sports/fact-check-rhythm-sangwan-broke-the-world-record-of-shooting-in-baku-in-may-viral-claim-turns-out-to-be-misleading/,"Fact Check : रिदम सांगवान ने मई में तोड़ा था बाकू में शूटिंग का विश्व रिकॉर्ड, वायरल दावा निकला भ्रामक",https://www.facebook.com/maa.kaladla.50159836/posts/pfbid0WfhhyhHWR1ppHMk74wy1hKr9oFMF6QQSJP4AQNF6xxqbSKzhje6wDCnXZ1GNJ4bnl,Facebook User Jat Brothers,बाकू में चल रहे ISSF शूटिंग वर्ल्ड कप में भारत की नई शूटिंग स्टार रिदम सांगवान ने तोड़ा वर्ल्ड रिकॉर्ड,बाकू में चल रहे ISSF शूटिंग वर्ल्ड कप में भारत की नई शूटिंग स्टार रिदम सांगवान ने तोड़ा वर्ल्ड रिकॉर्ड,Rythem Sangwan,Hindi
Pallavi Mishra,19th Aug 2023,https://www.vishvasnews.com/society/fact-check-italian-plane-stunt-video-shared-as-indian-independence-day-celebrations/,Fact Check: इटली के प्लेन स्टंट वीडियो को 2023 के भारतीय स्वतंत्रता दिवस समारोह का बताकर किया जा रहा है वायरल,https://www.facebook.com/100006208094994/videos/615726063882826/?mibextid=HSR2mg,Facebook User San Sebastian,Indian Air Force Independence Day Special,Indian Air Force Independence Day Special,I Day,Hindi
Pallavi Mishra,18th Aug 2023,https://www.vishvasnews.com/politics/fact-check-fadnavis-did-not-give-objectionable-statement-regarding-savarkar-viral-video-is-edited/,"Fact Check : सावरकर को लेकर फडणवीस ने नहीं दिया आपत्तिजनक बयान, एडिटेड है वायरल वीडियो",https://perma.cc/RQ66-AWKN,Twitter user Siddhu Lomte,फडणवीस ने वीर सावरकर का अपमान किया,फडणवीस ने वीर सावरकर का अपमान किया,ट्विटर यूजर Siddhu Lomte,Hindi
Pallavi Mishra,18th Aug 2023,https://www.vishvasnews.com/viral/fact-check-this-post-asking-people-to-switch-off-phones-due-to-cosmic-rays-is-fake/,Fact Check: कॉस्मिक किरणों के कारण फोन बंद करने के लिए कहने वाली यह पोस्ट फर्जी है,https://www.facebook.com/permalink.php?story_fbid=311323794702448&id=100074744895883,Facebook USer Danny Singh,"आज रात 12:30 से 03:30 बजे, हमारा ग्रह पृथ्वी के करीब से गुजरने वाली कॉस्मिक किरणों से बहुत अधिक विकिरण के संपर्क में आएगा। इसलिए कृपया अपने सेलफोन बंद कर दें।","आज रात 12:30 से 03:30 बजे, हमारा ग्रह पृथ्वी के करीब से गुजरने वाली कॉस्मिक किरणों से बहुत अधिक विकिरण के संपर्क में आएगा। इसलिए कृपया अपने सेलफोन बंद कर दें।",डैनी सिंह,Hindi
Pallavi Mishra,17th Aug 2023,https://www.vishvasnews.com/viral/fact-check-three-year-old-video-of-palwal-is-being-linked-to-the-recent-haryana-violence/,Fact Check : पलवल के तीन साल पुराने वीडियो को हालिया हरियाणा हिंसा से जोड़कर किया जा रहा वायरल,https://www.facebook.com/18amxn/posts/pfbid0331jDk2DXiBqvK3N1Nrhar9DvPWi17Tgn2uhCGXu99Djrn7ef24H7SoqRUwPmCrH9l,फेसबुक यूजर ‘Ãm Áñ,नूंह में पुलिस ने महिलाओं पर किया लाठीचार्ज,नूंह में पुलिस ने महिलाओं पर किया लाठीचार्ज,फेसबुक यूजर ‘Ãm Áñ’,Hindi
Pallavi Mishra,16th Aug 2023,https://www.vishvasnews.com/politics/fact-check-edited-picture-of-belly-dancer-viral-in-the-name-of-union-minister-smriti-irani/,Fact Check : केंद्रीय मंत्री स्मृति ईरानी के नाम पर वायरल की गई बेली डांसर की एडिटेड तस्‍वीर,https://www.facebook.com/photo/?fbid=1497233354421406&set=a.112561479555274,Facebook user 'Viffrelo Vadhiari',बेली डांसिंग कॉस्ट्यूम में स्मृति ईरानी,बेली डांसिंग कॉस्ट्यूम में स्मृति ईरानी,फेसबुक यूजर ‘विफ़रेलो वधिआरी’,Hindi
Pallavi Mishra,14th Aug 2023,https://www.vishvasnews.com/world/fact-check-robotic-snake-wrapped-on-the-statue-of-gautam-buddha-is-not-real/,Fact Check: गौतम बुद्ध की मूर्ति पर लिपटे रोबोटिक सांप को असली समझ कर शेयर कर रहे हैं लोग,https://www.facebook.com/reel/534842398773864,Facebook User Vedpal Maurya,पाल में हर साल बारिश में एक 15 फीट का साँप भगवान बुद्ध की मूर्ति को ढक लेता,पाल में हर साल बारिश में एक 15 फीट का साँप भगवान बुद्ध की मूर्ति को ढक लेता,Vedpal Maurya,Hindi
Pallavi Mishra,14th Aug 2023,https://www.vishvasnews.com/viral/fact-check-this-image-of-satyajit-ray-with-aston-martin-is-edited/,Fact Check: शॉन कॉनरी की तस्वीर को एडिट कर चिपकाया गया है सत्यजीत रे का चेहरा,https://www.facebook.com/photo?fbid=1500515507146114&set=a.101698177027861,Facebook User Somen Halder,1953 में सत्यजीत रे! कोई भी बॉन्ड उनके करिश्मे की बराबरी नहीं कर सकता,1953 में सत्यजीत रे! कोई भी बॉन्ड उनके करिश्मे की बराबरी नहीं कर सकता,फेसबुक यूजर Somen Halder,Hindi
Pallavi Mishra,7th Aug 2023,https://www.vishvasnews.com/viral/fact-check-this-video-of-astronauts-is-a-scene-from-a-hollywood-film-not-related-to-chandrayaan-3/,"Fact Check: अंतरिक्ष यात्रियों का यह वीडियो हॉलीवुड फिल्म का एक सीन है, चंद्रयान 3 से नहीं है कोई संबंध",https://www.facebook.com/fact-checking/?tab=bookmarked&id=1479993582763201,फेसबुक यूजर सैड ब्वॉय,"चंद्रयान 3 लॉन्च के बाद वैज्ञानिक सर्च टाईम, इस बार भारत ने कुछ अलग कर दिया लास्ट तक वीडियो देखे","चंद्रयान 3 लॉन्च के बाद वैज्ञानिक सर्च टाईम, इस बार भारत ने कुछ अलग कर दिया लास्ट तक वीडियो देखे",फेसबुक यूजर सैड ब्वॉय,Hindi
Pallavi Mishra,7th Aug 2023,https://www.vishvasnews.com/politics/fact-check-video-of-special-pilgrimage-train-running-between-telangana-karnataka-is-being-spread-with-communal-color/,Fact Check : तेलंगाना-कर्नाटक के बीच चलने वाली स्पेशल तीर्थयात्रा ट्रेन के वीडियो को सांप्रदायिक रंग देकर फैलाया जा रहा है भ्रम,https://www.facebook.com/100071595576771/videos/948468446450925,फेसबुक यूजर ‘संजय कुमार चौधरी,हैदराबाद से पश्चिम बंगाल जाने वाली ट्रेन को जिहादियों ने मुस्लिम एक्सप्रेस बना दिया।,हैदराबाद से पश्चिम बंगाल जाने वाली ट्रेन को जिहादियों ने मुस्लिम एक्सप्रेस बना दिया।,फेसबुक यूजर ‘संजय कुमार चौधरी’,Hindi
Pallavi Mishra,4th Aug 2023,https://www.vishvasnews.com/viral/fact-check-this-car-made-by-an-american-company-is-named-after-a-male-sheep-and-not-after-lord-ram/,"Fact Check : अमेरिकी कंपनी द्वारा बनाई गई इस कार का नाम नर भेड़ पर आधारित है, भगवान राम के नाम पर नहीं",https://www.facebook.com/permalink.php?story_fbid=182199838199076&id=100092271829367,फेसबुक यूजर ‘कट्टर हिंदू सनातनी पावर’,USA ने New गाड़ी लॉन्च की है जिसके Brand का नाम भगवान RAM है,USA ने New गाड़ी लॉन्च की है जिसके Brand का नाम भगवान RAM है,फेसबुक यूजर ‘कट्टर हिंदू सनातनी पावर,Hindi
Pallavi Mishra,3rd Aug 2023,https://www.vishvasnews.com/society/fact-check-video-of-man-who-fell-into-lions-enclosure-at-delhi-zoo-in-2019-viral-as-recent/,Fact Check : 2019 में दिल्ली के चिड़ियाघर में शेर के बाड़े में गिरे शख्स का वीडियो हालिया बताकर वायरल,https://www.facebook.com/100015634962121/videos/1015097289934632,Facebook user 'Sheikh Mohammad Nazim Sarkasambhal',दिल्ली के चिड़ियाघर में शेर के पिंजरे मे गिरा एक आदमी,दिल्ली के चिड़ियाघर में शेर के पिंजरे मे गिरा एक आदमी,फेसबुक यूजर ‘शेख मोहम्मद नाजिम सरकासंभल’,Hindi
Pallavi Mishra,2nd Aug 2023,https://www.vishvasnews.com/health/fact-check-viral-claim-about-coconut-oil-green-cardamom-and-homeopathic-medicine-eupatorium-parfoeum-200-to-prevent-dengue-is-misleading/,"Fact Check : 48 घंटे में डेंगू के इलाज का दावा भ्रामक, डॉक्‍टर की लें सलाह",https://www.facebook.com/groups/3157141021166495/posts/3448564715357456,फेसबुक ग्रुप SKD AYURVED VIDIO,डेंगू बुखार फैल रहा है। अपने घुटनों से पैर के पंजे तक नारियल का तेल (coconut oil) लगायें। यह एक एंटीबायोटिक परत की तरह सुबह से शाम तक काम करता है। डेंगू का मच्छर घुटनों तक की ऊँचाई से ज्यादा नही उड़ सकता है।,डेंगू बुखार फैल रहा है,फेसबुक ग्रुप SKD AYURVED VIDIO,Hindi
Pallavi Mishra,2nd Aug 2023,https://www.vishvasnews.com/viral/fact-check-the-incident-of-2015-is-being-misleadingly-shared-with-communal-angle/,Fact Check : 2015 की घटना को सांप्रदायिक एंगल के दावे के साथ किया जा रहा है वायरल,https://www.facebook.com/photo/?fbid=264910049620957&set=a.146626454782651,Facebook user Samel Babu,उत्तर प्रदेश में बाइबिल पढ़ाने पर ईसाई पादरी और पत्नी को निर्वस्त्र कर दिया गया,उत्तर प्रदेश में बाइबिल पढ़ाने पर ईसाई पादरी और पत्नी को निर्वस्त्र कर दिया गया,फेसबुक यूजर Samel Babu,Hindi
Pallavi Mishra,1st Aug 2023,https://www.vishvasnews.com/viral/fact-check-old-video-from-brazil-is-being-falsely-shared-as-manipur/,Fact Check: ब्राज़ील के पुराने वीडियो को मणिपुर का बताकर फैलाया जा रहा है झूठ,https://www.facebook.com/photo/?fbid=2710727175761116&set=a.146263308874195,Facebook user Rufus Inayat,मणिपुर में ईसाई महिला की हत्या,मणिपुर में ईसाई महिला की हत्या,फेसबुक यूजर रुफुस इनायत,Hindi
Pallavi Mishra,1st Aug 2023,https://www.vishvasnews.com/viral/fact-check-this-video-of-building-collapsing-due-to-rain-is-not-from-gujarat/,Fact Check: बारिश की वजह से ढहती इमारत का यह वीडियो गुजरात का नहीं है,https://www.facebook.com/reel/1267543030818108,फेसबुक यूजर नीतीश कुमार राजपूत,गुजरात में बारिश की वजह से हुआ हादसा,गुजरात में बारिश की वजह से हुआ हादसा,फेसबुक यूजर नीतीश कुमार राजपूत,Hindi
Pallavi Mishra,1st Aug 2023,https://www.vishvasnews.com/politics/fact-check-old-photos-of-2012-anti-rape-protests-in-delhi-shared-as-manipur/,Fact Check: दिल्ली में गैंग-रेप के विरोध में 2012-13 में हुए प्रदर्शनों की पुरानी तस्वीरें मणिपुर की बताकर वायरल,https://www.facebook.com/shaheenbagh01/posts/pfbid0F6QxcqxkMw6rejTVdEXJVDVox1WyYEaXKFdguagj9JEf9g6zfctA75ymeddYYTCtl,फेसबुक यूजर shaheen._bagh,मणिपुर में कुकी महिलाओं के साथ क्रूर बलात्कार के विरोध में सैकड़ों भारतीय सड़कों पर उतर आए,मणिपुर में कुकी महिलाओं के साथ क्रूर बलात्कार के विरोध में सैकड़ों भारतीय सड़कों पर उतर आए,फेसबुक यूजर shaheen._baghr,Hindi
Pallavi Mishra,28th Jul 2023,https://www.vishvasnews.com/entertainment/fact-check-clipped-old-video-of-late-actor-om-puri-is-viral-with-false-claim/,Fact Check: दिवंगत अभिनेता ओम पुरी के पुराने वीडियो को क्लिप करके गलत दावे के साथ किया जा रहा है वायरल,https://www.facebook.com/reel/302743445490848,फेसबुक यूजर मोहम्मद अकमल,ओम पुरी ने कहा कि पूरी दुनिया को इस्लाम कबूल कर लेना चाहिए,ओम पुरी ने कहा कि पूरी दुनिया को इस्लाम कबूल कर लेना चाहिए,फेसबुक यूजर मोहम्मद अकमल,Hindi
Sharad Prakash Asthana,1st Sep 2023,https://www.vishvasnews.com/politics/fact-check-vidhu-jain-murder-case-was-of-september-2013-is-unsolved/,"Fact Check: करीब 10 साल पहले हुई थी पंजाब में विधु जैन की हत्या, भ्रामक दावा वायरल",https://www.facebook.com/permalink.php?story_fbid=pfbid02yP56T1mPWuE1E8dzLfSAH73ujYPKdxb1nCVt6MewfDnrRxwUiCDv7xdRR8Y7uQyvl&id=100008644308924,FB User- Rahul Panwar Madalpur,पंजाब में मासूम विधु जैन को धर्म विशेष के लोगों ने जिंदा जला दिया।,Vidhu Jain Murder,NA,Hindi
Sharad Prakash Asthana,31st Aug 2023,https://www.vishvasnews.com/politics/fact-check-delhi-cm-arvind-kejariwal-fake-hoarding-viral-again/,Fact Check: दिल्ली के सीएम अरविंद केजरीवाल की तस्वीर वाले होर्डिंग की एडिटेड फोटो फिर से हुई शेयर,https://www.facebook.com/photo/?fbid=6795790250514897&set=a.109919385768717,FB User- विनोद मोहिते,"होर्डिंग में लिखा है, तुगलकाबाद के सुलभ शौचालय में धोने के लिए पानी के नये लोटे रखे गए।",Delhi CM Arvind Kejariwal Hoarding,Arvind Kejariwal,Hindi
Jyoti,6th Sep 2023,https://www.vishvasnews.com/punjabi/viral/fact-check-this-video-of-people-injecting-vegetables-is-not-real-but-scripted/,Fact Check: ਸਬਜ਼ੀਆਂ ਨੂੰ ਇੰਜੈਕਸ਼ਨ ਲਗਾਉਂਦੇ ਲੋਕਾਂ ਦਾ ਇਹ ਵੀਡੀਓ ਅਸਲ ਨਹੀਂ ਸਕ੍ਰਿਪਟਿਡ ਹੈ,https://www.facebook.com/punjabharpalnews/videos/824811162532831/,Punjab Har Pal News,ਸਬਜ਼ੀਆਂ ਨੂੰ ਜਲਦੀ ਵੱਡਾ ਕਰਨ ਲਈ ਇੰਜੈਕਸ਼ਨ ਲਾਉਂਦੇ ਲੋਕ।,Health,No,Hindi
Jyoti,5th Sep 2023,https://www.vishvasnews.com/politics/fact-check-viral-video-of-police-fining-khatu-shyam-sticker-on-bike-from-uttar-pradesh-not-rajasthan/,"Fact Check: बाइक पर खाटू श्याम का स्टिकर लगाने पर चालान होने का यह वीडियो राजस्थान नहीं, उत्तर प्रदेश का है",https://www.facebook.com/permalink.php?story_fbid=pfbid024jEPhDx6ZH8JB7YvwJLtbGcSmS38ZGRfwnXngdUFBNh4BfZDn76KnzVeex7BeRJGl&id=100091627366403,फेसबुक यूजर-Ahuja Ved,राजस्थान में बाइक पर खाटू श्याम का स्टिकर लगाने पर हुआ चालान।,NA,Congress,Hindi
Jyoti,4th Sep 2023,https://www.vishvasnews.com/viral/fact-check-a-false-post-viral-in-the-name-of-sanjay-dutt-went-to-baba-bageshwar-dham/,"Fact Check : संजय दत्त नहीं गए बागेश्वर धाम, पुराने वीडियो को एडिट कर किया गया वायरल",https://www.facebook.com/SavTakNews01/videos/867381628322630/,सब तक न्यूज,बागेश्वर महाराज के दरबार पहुंचे संजय दत्त।,Bageshwar Dham,Sanjay Dutt,Hindi
Jyoti,1st Sep 2023,https://www.vishvasnews.com/punjabi/politics/fact-check-the-picture-of-the-person-arrested-under-the-campaign-launched-by-the-bathinda-police-went-viral-with-false-claims/,Fact Check : ਬਠਿੰਡਾ ਪੁਲਿਸ ਵੱਲੋਂ ਚਲਾਈ ਗਈ ਮੁਹਿੰਮ ਤਹਿਤ ਗ੍ਰਿਫਤਾਰ ਕਿੱਤੇ ਗਏ ਵਿਅਕਤੀ ਦੀ ਤਸਵੀਰ ਗ਼ਲਤ ਦਾਅਵੇ ਨਾਲ ਵਾਇਰਲ,https://www.facebook.com/photo/?fbid=1453756628502610&set=a.130572537487699,ਜਸਵਿੰਦਰ ਮਾਕੜ ਰਾਮਗੜ੍ਹੀਆਂ,ਬਠਿੰਡਾ ਦੇ ਖੇਡ ਸਟੇਡੀਅਮ ਵਿੱਚ ਹੋਏ ਖੇਡਾਂ ਵਤਨ ਪੰਜਾਬ ਦੀਆਂ ਦੇ ਪ੍ਰੋਗਰਾਮ ਵਿੱਚ ਆਮ ਆਦਮੀ ਪਾਰਟੀ ਦਾ ਸਰਕਲ ਪ੍ਰਧਾਨ ਤੋਂ ਚੋਰੀ ਕੀਤੇ ਮਹਿੰਗੇ ਮੋਬਾਇਲ ਬਰਾਮਦ।,AAP Party,No,Hindi
Sharad Prakash Asthana,6th Sep 2023,https://www.vishvasnews.com/politics/fact-check-rajasthan-ashok-gehlot-government-not-amended-ipc-427-and-prevention-of-damage-to-public-property-act-1984-for-masjid-staff/,Fact Check: राजस्थान में मस्जिद या मदरसा स्टाफ से दुर्व्यवहार करने पर तीन साल की सजा का दावा फेक,https://www.facebook.com/permalink.php?story_fbid=pfbid0oZKq16QpqoDKiW9zsqSEcRMWiKXMTczAxGL1SsFe3JDinbqqFUgwx9NkdntKYmK6l&id=100076350603994,FB User- CP Bhakta,"राजस्थान सरकार ने नया कानून बनाया है, जिसके तहत मस्जिद या मदरसा के स्टाफ से दुर्व्यवहार करने पर तीन साल की सजा हो सकती है।",Rajasthan Government,NA,Hindi
Sharad Prakash Asthana,6th Sep 2023,https://www.vishvasnews.com/viral/fact-check-meerut-neeraj-chopra-statue-javeline-stolen-post-is-rumour/,"Fact Check : मेरठ में नीरज चोपड़ा की प्रतिमा से भाला चोरी नहीं हुआ, पुलिस ने बताया अफवाह",https://twitter.com/imayankindian/status/1698967795877425496,X User- iMayankofficial,विश्व चैंपियन नीरज चोपड़ा के स्टैच्यू का भाला चोरी हो गया है।,Meerut Police,Neeraj Chopra,Hindi
Sharad Prakash Asthana,5th Sep 2023,https://www.vishvasnews.com/politics/fact-check-rajasthan-ganganagar-mla-ramkesh-meena-old-video-of-marpeet-viral-with-communal-angle/,Fact Check : विधायक रामकेश मीणा का पांच साल पुराना वीडियो सांप्रदायिक दावे से हो रहा शेयर,https://twitter.com/itsAnjaliT/status/1698607685070160081,X User- अंजली,राजस्थान में धर्म विशेष के विधायक ने जब भगवा झंडा उतारा तो लोगों ने उनको दौड़ा-दौड़ा के पीटा।,Ramkesh Meena,Ramkesh Meena,Hindi
Sharad Prakash Asthana,2nd Sep 2023,https://www.vishvasnews.com/viral/fact-check-dainik-jagran-fake-post-on-love-jihad-viral/,Fact Check: दैनिक जागरण के नाम से फेक पोस्ट हो रही शेयर,https://twitter.com/igopalgoswami/status/1697522227615588363,X User- Gopal Goswami,दैनिक जागरण के अखबार में \'लव जिहाद\' से जोड़कर एक पैकेज छपा है।,Dainik Jagran,NA,Hindi
Sharad Prakash Asthana,2nd Sep 2023,https://www.vishvasnews.com/viral/fact-check-dainik-bhaskar-edited-news-clip-of-rakshabandhan-date-33-august-viral/,Fact Check: 33 अगस्त की तारीख लिखी अखबार की एडिटेड कटिंग हो रही शेयर,https://twitter.com/INDVivekPandey_/status/1694636336290906361,X User- Vivek Pandey,33 अगस्त को राखी का पर्व मनाया जाएगा।,Dainik Bhaskar,NA,Hindi
Jyoti,7th Sep 2023,https://www.vishvasnews.com/viral/fact-check-this-picture-being-shared-as-of-g-20-summit-to-be-held-in-delhi-is-from-mumbai/,Fact Check: दिल्ली में होने वाले G-20 शिखर सम्मेलन की बताकर वायरल की जा रही यह तस्वीर मुंबई की है,https://www.facebook.com/photo/?fbid=1634146433741048&set=a.190878301401209,फेसबुक यूजर- योगेश तिवारी,देखिए कैसे एक झटके में दिल्ली से गरीबी मिट गई।,G2O Summit,BJP,Hindi
Jyoti,8th Sep 2023,https://www.vishvasnews.com/politics/fact-check-old-video-of-krishna-janmashtami-2023-celebration-at-srinagar-lal-chowk-goes-viral/,"Fact Check : श्रीनगर के लाल चौक पर जन्माष्टमी पर निकाली गई झांकी का वायरल वीडियो साल 2021 का है, हाल का नहीं",https://www.facebook.com/groups/832267403929874/posts/1646740045815935,फेसबुक यूजर- Lovey Talooja,आज कश्मीर के श्रीनगर के लालचौक से निकलती जन्माष्टमी की झांकी।,Janmashthmi,No,Hindi
Ashish Maharishi,8th Sep 2023,https://www.vishvasnews.com/viral/fact-check-video-viral-with-false-claim-of-stopping-the-sadbhavna-express-by-chain-pulling/,"Fact Check : सद्भावना एक्सप्रेस में चेन पुलिंग की घटना के बाद रुकी थी ट्रेन, वायरल दावा गलत",https://www.instagram.com/reel/Cw2AR3Zug4U/?ig_rid=7b67ad00-5c87-4428-bc83-764a7e9865f4,इंस्‍टाग्राम हैंडल आदित्‍य,एक और ट्रेन हादसा। कितनों की जान गई।,Train Accident,NA,Hindi
Ashish Maharishi,7th Sep 2023,https://www.vishvasnews.com/politics/fact-check-old-video-viral-again-of-shoes-thrown-on-chief-minister-shivraj-singh-chauhan-in-madhya-pradesh/,Fact Check : शिवराज सिंह चौहान की ओर जूता फेंकने का पांच साल पुराना वीडियो फिर से वायरल,https://www.facebook.com/mohammad.arif.1466126/videos/1066221904746579,फेसबुक यूजर मोहम्‍मद आरिफ,मुख्‍यमंत्री शिवराज सिंह चौहान पर जूता फेंका गया,Against Shivraj singh,MP CM,Hindi
Ashish Maharishi,7th Sep 2023,https://www.vishvasnews.com/viral/fact-check-false-video-viral-with-communal-angle-muslim-person-not-damaged-the-lord-hanuman-statue/,Fact Check : गुजरात में हनुमान जी के भित्तिचित्र को नुकसान पहुंचाने के मामले में कोई सांप्रदायिक एंगल नहीं,https://www.facebook.com/kishanbungbung/videos/855189809589066/,फेसबुक यूजर Krishna Channdra Bung,मुसलमान ने तोड़ा हनुमान जी का भित्ति चित्र,Against Muslim,NA,Hindi
Ashish Maharishi,5th Sep 2023,https://www.vishvasnews.com/society/fact-check-false-image-viral-with-communal-angle-jai-bholenath-was-written-on-the-forehead-of-a-muslim-youth-by-his-own-community/,"Fact Check : मुस्लिम युवक के माथे पर उसके समुदाय के युवक ने ही लिखा था ‘जय भोलेनाथ’, झूठा सांप्रदायिक दावा वायरल",https://www.facebook.com/ramgupta03/videos/1484843652273348/,फेसबुक यूजर मयंक राज,एक मुस्लिम युवक के माथे पर हिंदू ने लिखा जय भोलेनाथ,Against Hindu Dharma,NA,Hindi
Ashish Maharishi,1st Sep 2023,https://www.vishvasnews.com/society/fact-check-rapist-being-killed-in-prayagraj-false-news-viral-again/,"Fact Check : इलाहाबाद की शीषा साहू की कहानी झूठी, पहले भी हो चुकी है वायरल",https://www.facebook.com/photo.php?fbid=622181750111061&set=gm.1652884331908454&type=3&theater,फेसबुक यूजर Trishika Srivastava Dhara,इलाहाबाद की शीषा साहू ने दो बलात्‍कारियों को मौत के घाट उतारा,Pro Women,NA,Hindi
Pragya Shukla,1st Sep 2023,https://www.vishvasnews.com/politics/fact-check-the-video-of-pm-modis-welcome-in-denmark-is-being-shared-by-linking-it-to-the-uk-royal-family/,Fact Check : PM Modi के डेनमार्क के पुराने वीडियो को ब्रिटेन के शाही परिवार में स्वागत का बताकर किया गया वायरल,https://www.facebook.com/shafiquezaman.khan/videos/257792900505479,फेसबुक यूजर ‘शफीक ज़मा खान’,पहली बार UK के शाही परिवार ने हमारे प्रधानमंत्री को उनके साथ बैठने के लिए आमंत्रित किया है।,PM Modi Welcome in UK,PM Modi,Hindi
