Story Date,Story URL,Headline,Claim URL,Claimed By,What (Claim),About Subject,About Person,Language,Image
5th Aug 2023,https://www.vishvasnews.com/viral/fact-check-image-of-pm-modi-doing-parikrama-in-front-of-lord-ganesha-idol-being-shared-with-misleading-claim/,Fact Check : भगवान गणेश की मूर्ति के सामने परिक्रमा करते पीएम मोदी की तस्वीर को भ्रामक दावों के साथ किया जा रहा शेयर,https://www.facebook.com/photo/?fbid=6265971143502003&set=a.187999641299214,फेसबुक यूजर अनिल अचवाल,पीएम मोदी फोटो खिंचवाने के लिए भगवान गणेश की मूर्ति की तरफ पीठ कर हाथ जोड़कर खड़े हुए।,PM Modi in Dagdusheth Ganpati Temple,PM Modi,Hindi,
1st Mar 2023,https://www.vishvasnews.com/viral/fact-check-image-of-two-youths-arrested-for-theft-being-shared-with-fabricated-claim-in-the-name-of-alleged-barber-jihad-in-mumbai/,Fact Check : चोरी के आरोप में पकड़े गए दो युवाओं की तस्वीर को मुंबई में “नाई  जिहाद” के नाम पर मनगढ़ंत दावे के साथ किया जा रहा शेयर,https://www.facebook.com/photo/?fbid=514852994135093&set=a.128368932783503,फेसबुक यूजर रवि राष्ट्रवादी, मुंबई में कथित “नाई जिहाद” का मामला सामने आया है। ,Barber jihad,NA,Hindi,
2nd May 2023,https://www.vishvasnews.com/viral/fact-check-image-of-wrestlers-protesting-at-delhis-jantar-mantar-edited-and-shared-with-false-claim/,Fact Check : दिल्ली के जंतर-मंतर पर पहलवानों के विरोध प्रदर्शन की तस्वीर को एडिट कर गलत दावे के साथ किया जा रहा शेयर,https://www.facebook.com/photo?fbid=212293754853661&set=a.105250422224662,फेसबुक यूजर कु.मनीष प्रताप सिंह राणा,मिया खलीफा पहलवानों के विरोध प्रदर्शन को समर्थन करने के लिए पहुंची।,wrestlers protest,Mia Khalifa,Hindi,
2nd May 2023,https://www.vishvasnews.com/viral/fact-check-image-of-wrestlers-protesting-at-delhis-jantar-mantar-edited-and-shared-with-false-claim/,Fact Check : दिल्ली के जंतर-मंतर पर पहलवानों के विरोध प्रदर्शन की तस्वीर को एडिट कर गलत दावे के साथ किया जा रहा शेयर,https://www.facebook.com/photo?fbid=212293754853661&set=a.105250422224662,फेसबुक यूजर कु.मनीष प्रताप सिंह राणा,मिया खलीफा पहलवानों के विरोध प्रदर्शन को समर्थन करने के लिए पहुंची।,wrestlers protest,Mia Khalifa,Hindi,
2nd May 2023,https://www.vishvasnews.com/viral/fact-check-india-hyderabad-grave-with-lock-image-viral-with-false-link-to-pakistan/,Fact Check: हैदराबाद के कब्रिस्‍तान की तस्‍वीर पाकिस्‍तान के नाम से वायरल,https://www.facebook.com/navin.shukla.790256/posts/pfbid0UorEC6L9hQK412c1L2cV2tb9qJvbSb4tDnAaLWQgwfQ9nNwLSatJKFG9H3vRboyHl,FB User- नवीन कुमार,यह कब्रिस्तान की तस्वीर पाकिस्तान की है।,Graveyard in Pakistan,Mohammed Abdul Jaleel,Hindi,
2nd May 2023,https://www.vishvasnews.com/viral/fact-check-india-hyderabad-grave-with-lock-image-viral-with-false-link-to-pakistan/,Fact Check: हैदराबाद के कब्रिस्‍तान की तस्‍वीर पाकिस्‍तान के नाम से वायरल,https://www.facebook.com/navin.shukla.790256/posts/pfbid0UorEC6L9hQK412c1L2cV2tb9qJvbSb4tDnAaLWQgwfQ9nNwLSatJKFG9H3vRboyHl,FB User- नवीन कुमार,यह कब्रिस्तान की तस्वीर पाकिस्तान की है।,Pakistan,NA,Hindi,
2nd May 2023,https://www.vishvasnews.com/viral/fact-check-india-hyderabad-grave-with-lock-image-viral-with-false-link-to-pakistan/,Fact Check: हैदराबाद के कब्रिस्‍तान की तस्‍वीर पाकिस्‍तान के नाम से वायरल,https://www.facebook.com/navin.shukla.790256/posts/pfbid0UorEC6L9hQK412c1L2cV2tb9qJvbSb4tDnAaLWQgwfQ9nNwLSatJKFG9H3vRboyHl,FB User- नवीन कुमार,यह कब्रिस्तान की तस्वीर पाकिस्तान की है।,Pakistan,NA,Hindi,
18th Jul 2023,https://www.vishvasnews.com/viral/fact-check-indian-archer-deepika-kumari-won-three-gold-medals-in-paris-two-years-ago/,Fact Check : भारतीय तीरंदाज दीपिका कुमारी ने पेरिस में जीते थे दो साल पहले तीन गोल्ड मेडल,https://www.facebook.com/deven.rathod/posts/pfbid0FrXXSVMtJzmZEgzY5emMdKHRehEJ92cWavSw1wuzG9ENQUgCUcsKvgykwMyPbbFal,फेसबुक यूजर देवेन राठौड़,दीपिका कुमारी ने हाल ही में पेरिस में हो रहे विश्व तीरंदाजी चैंपियनशिप में 03 गोल्ड जीते हैं।,About Jyoti Kumari,Jyoti Kumari,Hindi,
3rd Aug 2023,https://www.vishvasnews.com/viral/fact-check-indian-army-not-release-this-viral-video-related-to-manipur-violence/,Fact Check: भारतीय सेना ने नहीं जारी किया मणिपुर को लेकर यह वीडियो,https://www.facebook.com/darshan.negi1/posts/pfbid02ovvrBeocHWvtrtntze2JuZQbgrbtpuf3vCS64YZRvY5EpXbAjaNPaLaijYo7finQl,FB User- दर्शन नेगी,भारतीय सेना ने इस वीडियो को जारी किया है।,Indian Army in Manipur,-------------,Hindi,
3rd Aug 2023,https://www.vishvasnews.com/viral/fact-check-indian-army-not-release-this-viral-video-related-to-manipur-violence/,Fact Check: भारतीय सेना ने नहीं जारी किया मणिपुर को लेकर यह वीडियो,https://www.facebook.com/darshan.negi1/posts/pfbid02ovvrBeocHWvtrtntze2JuZQbgrbtpuf3vCS64YZRvY5EpXbAjaNPaLaijYo7finQl,FB User- दर्शन नेगी,भारतीय सेना ने इस वीडियो को जारी किया है।,Indian Army in Manipur,NA,Hindi,
20th Apr 2023,https://www.vishvasnews.com/viral/fact-check-indian-oil-did-not-warn-about-filling-the-car-with-oil-fake-message-again-viral/,"Fact Check : गाड़ी में तेल भरवाने को लेकर इंडियन ऑयल ने नहीं दी चेतावनी, फर्जी मैसेज फिर से वायरल",https://www.facebook.com/groups/mimumbaiker/posts/6603794269631810,फेसबुक यूजर प्रवीण मर्चेंट,इंडियन ऑयल ने दी चेतावनी,Indian Oil,Sumer,Hindi,
20th Apr 2023,https://www.vishvasnews.com/viral/fact-check-indian-oil-did-not-warn-about-filling-the-car-with-oil-fake-message-again-viral/,"Fact Check : गाड़ी में तेल भरवाने को लेकर इंडियन ऑयल ने नहीं दी चेतावनी, फर्जी मैसेज फिर से वायरल",https://www.facebook.com/groups/mimumbaiker/posts/6603794269631810,फेसबुक यूजर प्रवीण मर्चेंट,इंडियन ऑयल ने दी चेतावनी,Indian Oil,Sumer,Hindi,
2nd Aug 2023,https://www.vishvasnews.com/viral/fact-check-indian-oil-fuel-is-not-giving-national-fuel-subsidy-viral-link-is-fake/,"Fact Check: इंडियन ऑयल फ्यूल नहीं दे रहा नेशनल फ्यूल सब्सिडी, वायरल लिंक फर्जी",https://www.facebook.com/groups/1285490171924039/posts/1674406639699055/,फेसबुक यूजर Bï Kr Åm,इंडियन ऑयल दे रहा है नेशनल फ्यूल सब्सिडी।,Indian Oil Offer,Indian Oil,Hindi,
21st Sep 2023,https://www.vishvasnews.com/viral/fact-check-indonesia-viral-video-of-beating-girl-in-schoolroom-false-link-with-india/,"Fact Check: क्लासरूम में छात्रा की पिटाई का वीडियो इंडोनेशिया का है, भारत का नहीं",https://www.facebook.com/Malik.qureshi.077/videos/970785747365058/,FB User- Tausif Khatik,"यह वीडियो भारत के ऐसे कॉलेज का है, जहां हिंदू और मुस्लिम एकसाथ पढ़ते हैं।",Fighting in school,------------------,Hindi,
21st Sep 2023,https://www.vishvasnews.com/viral/fact-check-indonesia-viral-video-of-beating-girl-in-schoolroom-false-link-with-india/,"Fact Check: क्लासरूम में छात्रा की पिटाई का वीडियो इंडोनेशिया का है, भारत का नहीं",https://www.facebook.com/Malik.qureshi.077/videos/970785747365058/,FB User- Tausif Khatik,"यह वीडियो भारत के ऐसे कॉलेज का है, जहां हिंदू और मुस्लिम एकसाथ पढ़ते हैं।",School,NA,Hindi,
12th Aug 2023,https://www.vishvasnews.com/viral/fact-check-iranian-noamds-video-false-link-to-manipur-myanmar-infiltration/,"Fact Check: म्यांमार से मणिपुर में अवैध घुसपैठ के दावे से वायरल वीडियो ईरान का, फर्जी पोस्ट वायरल",https://www.facebook.com/anant.gandhi.37/posts/pfbid02vETh63DbTMUcWhxeatbYfhtz9qdEX5zGjoQ9jpetugpMSmikFiGMTNSzCbxEzN5Rl,FB User- अनंत गांधी,ये लोग म्‍यांमार से चोरी छुपे मणिपुर में दाखिल हो रहे हैं।,manipur myanmar infiltration,-------------,Hindi,
12th Aug 2023,https://www.vishvasnews.com/viral/fact-check-iranian-noamds-video-false-link-to-manipur-myanmar-infiltration/,"Fact Check: म्यांमार से मणिपुर में अवैध घुसपैठ के दावे से वायरल वीडियो ईरान का, फर्जी पोस्ट वायरल",https://www.facebook.com/anant.gandhi.37/posts/pfbid02vETh63DbTMUcWhxeatbYfhtz9qdEX5zGjoQ9jpetugpMSmikFiGMTNSzCbxEzN5Rl,FB User- अनंत गांधी,ये लोग म्‍यांमार से चोरी छुपे मणिपुर में दाखिल हो रहे हैं।,Illegal Infiltration in Manipur,NA,Hindi,
11th Aug 2023,https://www.vishvasnews.com/viral/fact-check-jio-company-is-not-giving-free-recharge-of-%e2%82%b9-239-on-mukesh-ambanis-birthday-the-viral-link-is-fake/,"Fact Check: मुकेश अंबानी के जन्मदिन पर जियो कंपनी नहीं दे रही है ₹239 का फ्री रिचार्ज, फर्जी है वायरल लिंक",https://www.facebook.com/permalink.php?story_fbid=pfbid0qsK5nF155xQETpyx8kzBZTx9u9xq9BB12hqkaLS76k1z55XyKbHwn5jzZTtDcoWVl&id=100093852308574,फेसबुक यूजर-Ankita,मुकेश अंबानी के जन्मदिन पर सभी भारतीय यूजर को ₹239 का 28 दिन वाला रिचार्ज फ्री में देने का वादा किया है।,Jio Free Recharge,Mukesh Ambani,Hindi,
20th Oct 2023,https://www.vishvasnews.com/viral/fact-check-jio-is-not-giving-free-recharge-on-the-birth-anniversary-of-reliance-industries-founder-dhirubhai-ambani-viral-claim-is-fake/,"Fact Check: रिलायंस इंडस्ट्रीज के संस्थापक धीरूभाई अंबानी की जयंती पर जियो नहीं दे रहा फ्री रिचार्ज, वायरल दावा फर्जी है",https://www.facebook.com/pooja4Y/posts/pfbid02LPLcPcApgk1gb4KVCniCJqBPTPXBRytXsVHAy26pPWaPtgeAtjQBbU4yEccrGoLdl,फेसबुक यूजर - पूजा कुमारी',धीरूभाई अंबानी की जयंती पर सभी जियो सिम यूजर्स को 749 वाला रिचार्ज फ्री दे रहा है।,Free Recharge,Mukesh Ambani,Hindi,
17th May 2023,https://www.vishvasnews.com/viral/fact-check-jio-is-not-giving-rs-999-dont-believe-in-fake-messages/,"Fact Check : जियो नहीं दे रहा है Rs. 999, मत यकीन करें फर्जी मैसेज पर",https://www.facebook.com/permalink.php?story_fbid=pfbid02dBQQWAVnukz5LPKsj8CfH9MeGtuXegroz9WkQH2j7BksU2tDJ9vkpw1KAssW5GiQl&id=104850022041730,फेसबुक पेज Deco Logy,जियो 7 साल पूरा होने पर 999 दे रही है,Jio,Mukesh Ambani,Hindi,
27th Sep 2023,https://www.vishvasnews.com/viral/fact-check-jios-claim-of-giving-free-recharge-of-rs-555-on-completion-of-100-crore-customers-is-fake/,Fact Check: 100 करोड़ कस्टमर पूरे होने पर Jio की तरफ से 555 रुपए का फ्री रिचार्ज देने का दावा फर्जी है,https://www.facebook.com/permalink.php?story_fbid=pfbid02PkGND5YQoFthhGe3qNgJ9d2bmYtfAmJKa8Mq1ufreCpJ3xanT96V44EPDmPvhZNBl&id=100093103452589,फेसबुक यूजर - cid New episode,जियो 100 करोड़ कस्टमर पूरे होने की ख़ुशी में सभी भारतीय यूजर को 555 रुपये तक का रिचार्ज फ्री में दे रहा है।,Ratan Tata,Free Recharge,Hindi,
17th Jul 2023,https://www.vishvasnews.com/viral/fact-check-jyoti-maurya-sdm-death-fake-news-viral/,Fact Check: ज्‍योति मौर्या के निधन की अफवाह वायरल,https://www.facebook.com/100066388731277/videos/1398628124032487/,FB User- Anju Prajapati ji,ज्‍योति मौर्या का निधन हो गया है।,SDM Bareilly,Jyoti Maurya,Hindi,
17th Jul 2023,https://www.vishvasnews.com/viral/fact-check-jyoti-maurya-sdm-death-fake-news-viral/,Fact Check: ज्‍योति मौर्या के निधन की अफवाह वायरल,https://www.facebook.com/100066388731277/videos/1398628124032487/,FB User- Anju Prajapati ji,ज्‍योति मौर्या का निधन हो गया है।,Jyoti Maurya,Jyoti Maurya,Hindi,
26th Jun 2023,https://www.vishvasnews.com/viral/fact-check-kajal-shinghala-hindustani-viral-video-with-link-to-ips-officer/,"Fact Check: आईपीएस अधिकारी नहीं है काजल शिंगला, भड़काऊ भाषण देने के आरोप में हुआ था केस दर्ज",https://www.facebook.com/permalink.php?story_fbid=pfbid0b1cqur8837abo839H9RAde5pWBGShs1sNUf5k9K9vLsGhzVptC91idAAogSdBX5Gl&id=100006957341589,FB User- Baljit Singh,ये गुजरात की आईपीएस अधिकारी काजल शिंगला है।,IPS Officer,Kajal Shinghla,Hindi,
26th Jun 2023,https://www.vishvasnews.com/viral/fact-check-kajal-shinghala-hindustani-viral-video-with-link-to-ips-officer/,"Fact Check: आईपीएस अधिकारी नहीं है काजल शिंगला, भड़काऊ भाषण देने के आरोप में हुआ था केस दर्ज",https://www.facebook.com/permalink.php?story_fbid=pfbid0b1cqur8837abo839H9RAde5pWBGShs1sNUf5k9K9vLsGhzVptC91idAAogSdBX5Gl&id=100006957341589,FB User- Baljit Singh,ये गुजरात की आईपीएस अधिकारी काजल शिंगला है।,Kajal Shinghla,Kajal Shinghla,Hindi,
3rd Oct 2023,https://www.vishvasnews.com/viral/fact-check-kanpur-jajmau-video-viral-with-false-communal-angle/,"Fact Check: कानपुर में किशोर को पीटने वाला शख्स उसके ही समुदाय का, कोई सांप्रदायिक एंगल नहीं",https://www.facebook.com/ysab.khan/videos/856482049538427/,FB User- स्टेन सरफराज,कानपुर में एक शख्स ने मुस्लिम युवक की पिटाई की।,Communal fight in Kanpur,Mohammed Faisal,Hindi,
3rd Oct 2023,https://www.vishvasnews.com/viral/fact-check-kanpur-jajmau-video-viral-with-false-communal-angle/,"Fact Check: कानपुर में किशोर को पीटने वाला शख्स उसके ही समुदाय का, कोई सांप्रदायिक एंगल नहीं",https://www.facebook.com/ysab.khan/videos/856482049538427/,FB User- स्टेन सरफराज,कानपुर में एक शख्स ने मुस्लिम युवक की पिटाई की।,Kanpur Case,NA,Hindi,
5th May 2023,https://www.vishvasnews.com/viral/fact-check-karnataka-election-viral-pre-poll-data-in-the-name-of-ndtv-fabricated-and-fake/,Fact Check : कर्नाटक चुनाव में NDTV के नाम से वायरल प्री-पोल का आंकड़ा मनगढ़ंत और फेक,https://twitter.com/SpiritOfCongres/status/1653422822956597254,ट्विटर यूजर Spirit of Congress,एनडीटीवी के पोल ट्रैकर के मुताबिक कार्नाटक में कांग्रेस की होगी जीत।,Karnataka Elections,NDTV,Hindi,
5th May 2023,https://www.vishvasnews.com/viral/fact-check-karnataka-election-viral-pre-poll-data-in-the-name-of-ndtv-fabricated-and-fake/,Fact Check : कर्नाटक चुनाव में NDTV के नाम से वायरल प्री-पोल का आंकड़ा मनगढ़ंत और फेक,https://twitter.com/SpiritOfCongres/status/1653422822956597254,ट्विटर यूजर Spirit of Congress,एनडीटीवी के पोल ट्रैकर के मुताबिक कार्नाटक में कांग्रेस की होगी जीत।,Karnataka Elections,NDTV,Hindi,
14th Jun 2023,https://www.vishvasnews.com/viral/fact-check-kedarnath-video-viral-with-false-communal-angle/,"Fact Check: केदारनाथ में यात्रियों से मारपीट मामले में नहीं है कोई सांप्रदायिक एंगल, आरोपी और पीड़ित एक ही समुदाय के",https://www.facebook.com/story.php?story_fbid=pfbid0qqeAY6RhWoHpBdVnWJKyShb6bfZCojPnDocXu26PwjvQcpbqyR4mWqXPP4gQ6g2Xl&id=100005795796546&mibextid=Nif5oz,FB User- संजय तिवारी,केदारनाथ में चारधाम यात्रियों के साथ मुस्लिम घोड़ा और खच्चर संचालकों ने मारपीट की।,Kedarnath Fight,Ankit Singh,Hindi,
14th Jun 2023,https://www.vishvasnews.com/viral/fact-check-kedarnath-video-viral-with-false-communal-angle/,"Fact Check: केदारनाथ में यात्रियों से मारपीट मामले में नहीं है कोई सांप्रदायिक एंगल, आरोपी और पीड़ित एक ही समुदाय के",https://www.facebook.com/story.php?story_fbid=pfbid0qqeAY6RhWoHpBdVnWJKyShb6bfZCojPnDocXu26PwjvQcpbqyR4mWqXPP4gQ6g2Xl&id=100005795796546&mibextid=Nif5oz,FB User- संजय तिवारी,केदारनाथ में चारधाम यात्रियों के साथ मुस्लिम घोड़ा और खच्चर संचालकों ने मारपीट की।,Kedarnath Fight,NA,Hindi,
5th Oct 2023,https://www.vishvasnews.com/viral/fact-check-kejriwal-did-not-say-that-modi-and-shah-would-destroy-pakistan-edited-clip-goes-viral/,"Fact Check: केजरीवाल ने नहीं कही थी मोदी, शाह के पाकिस्तान को बर्बाद कर देने की बात, एडिटेड क्लिप वायरल",https://www.facebook.com/reel/837121618133996,Facebook User,Kejriwal said that Modi and Shah would destroy Pakistan,Kejriwal and MOdi,na,Hindi,
4th Sep 2023,https://www.vishvasnews.com/viral/fact-check-leopard-video-goes-viral-suffering-from-mental-illness-false-claim-with-he-is-drunk/,Fact Check : दिमागी रोग से पीड़ित तेंदुए का वीडियो गलत दावे के साथ वायरल,https://www.facebook.com/permalink.php?story_fbid=pfbid02HbnqgC3FDCFuKVNHBJUeDrJhV13z6hVzgNCYCcB8oA2vWVc9TLyAftzMbZX6XHmtl&id=100035306682641,फेसबुक यूजर सोनू,गांव तारागढ़ मे तेंदुआ कच्ची शराब की भट्टी से दारू पी गया ओर भूल गया की वो शेर है।,Anti Animal,NA,Hindi,
11th Apr 2023,https://www.vishvasnews.com/viral/fact-check-link-of-fake-website-giving-prize-on-ramadan-competition-in-the-name-of-sheikh-mohammed-bin-rashid-goes-viral/,Fact Check: शेख मोहम्मद बिन राशिद के नाम से रमजान कॉम्पिटीशन पर इनाम देने वाली फर्जी वेबसाइट का लिंक वायरल,https://www.facebook.com/groups/147251873264590/posts/780318849957886/,Khan Junaid,मोहम्मद बिन राशिद ने रमजान प्रतियोगिता का आयोजन किया है।,Ramdan,Sheikh Mohammed bin Rashid,Hindi,
11th Apr 2023,https://www.vishvasnews.com/viral/fact-check-link-of-fake-website-giving-prize-on-ramadan-competition-in-the-name-of-sheikh-mohammed-bin-rashid-goes-viral/,Fact Check: शेख मोहम्मद बिन राशिद के नाम से रमजान कॉम्पिटीशन पर इनाम देने वाली फर्जी वेबसाइट का लिंक वायरल,https://www.facebook.com/groups/147251873264590/posts/780318849957886/,Khan Junaid,मोहम्मद बिन राशिद ने रमजान प्रतियोगिता का आयोजन किया है।,Ramdan,Sheikh Mohammed bin Rashid,Hindi,
1st May 2023,https://www.vishvasnews.com/viral/fact-check-ludhiana-polices-free-ride-initiative-for-women-viral-as-maharashtra-government-scheme/,Fact Check: महिलाओं के लिए लुधियाना पुलिस की फ्री-राइड पहल को महाराष्ट्र सरकार की योजना के रूप में किया जा रहा वायरल,https://www.facebook.com/photo/?fbid=5999552433432846&set=a.498949393493205,Vikram Mahamuni,महाराष्ट्र पुलिस ने महिलाओं के लिए फ्री सवारी योजना शुरू की है।,Women Free Ride,Maharashtra Govt.,Hindi,
1st May 2023,https://www.vishvasnews.com/viral/fact-check-ludhiana-polices-free-ride-initiative-for-women-viral-as-maharashtra-government-scheme/,Fact Check: महिलाओं के लिए लुधियाना पुलिस की फ्री-राइड पहल को महाराष्ट्र सरकार की योजना के रूप में किया जा रहा वायरल,https://www.facebook.com/photo/?fbid=5999552433432846&set=a.498949393493205,Vikram Mahamuni,महाराष्ट्र पुलिस ने महिलाओं के लिए फ्री सवारी योजना शुरू की है।,Women Free Ride,Maharashtra Govt.,Hindi,
17th Jul 2023,https://www.vishvasnews.com/viral/fact-check-machine-gun-was-not-found-in-bijnor-madrasa-raid-2019-incident-viral-once-again-with-misleading-claim/,"Fact Check: बिजनौर मदरसे की रेड में नहीं मिली थी मशीनगन, 2019 की घटना एक बार फिर भ्रामक दावे के साथ वायरल",https://www.facebook.com/permalink.php?story_fbid=pfbid08WwCehAATKNbAnGz7PTn3Bz63KP5xzfwUfQRfy9YCKUsU6qPb9Vnq1AMU748mcxnl&id=100092159051170,फेसबुक पेज 'सत्य सनातन दिव्य ज्ञान',"उत्तर प्रदेश, बिजनौर में मदरसे पर मारे गये छापे में बरामद हथियारों का जखीरा",madarsa raid,madarsa raid,Hindi,
28th Jul 2023,https://www.vishvasnews.com/viral/fact-check-madhya-pradesh-morena-kid-old-news-viral/,"Fact Check: मध्‍य प्रदेश के मुरैना में छोटे भाई का शव गोद में लिए बैठे मासूम का मामला एक साल पुराना है, हाल का नहीं",https://www.facebook.com/ishu.don.79/posts/pfbid02CLkDkP5gJ3oEreMynYWiKR3xR2bEfASM2tVwZJQ8pGm4xAfTWd1Kt9bsTszEoKntl,FB User- Haji Irshad Ahmed Hasan,मुरैना के अस्पताल में एंबुलेंस न मिलने पर छोटे भाई के शव को लेकर बैठे हुए बच्चे का वीडियो हाल का है।,Madhya Pradesh Morena,-------------,Hindi,
28th Jul 2023,https://www.vishvasnews.com/viral/fact-check-madhya-pradesh-morena-kid-old-news-viral/,"Fact Check: मध्‍य प्रदेश के मुरैना में छोटे भाई का शव गोद में लिए बैठे मासूम का मामला एक साल पुराना है, हाल का नहीं",https://www.facebook.com/ishu.don.79/posts/pfbid02CLkDkP5gJ3oEreMynYWiKR3xR2bEfASM2tVwZJQ8pGm4xAfTWd1Kt9bsTszEoKntl,FB User- Haji Irshad Ahmed Hasan,मुरैना के अस्पताल में एंबुलेंस न मिलने पर छोटे भाई के शव को लेकर बैठे हुए बच्चे का वीडियो हाल का है।,Madhya Pradesh Morena,NA,Hindi,
26th Oct 2023,https://www.vishvasnews.com/viral/fact-check-madhya-pradesh-viral-video-of-young-men-being-given-strange-punishment-share-as-lucknow/,"Fact Check: युवकों को अजीब सजा दिए जाने का वीडियो मध्य प्रदेश का है, लखनऊ का नहीं",https://twitter.com/nitinsinghabhay/status/1717001324896928144,X User- NITIN SINGH (अभय),लखनऊ में दशहरे के मेले में भोंपू बजाकर उधम मचाने वाले मनचलों को पुलिस ने उनके तरीके से सबक सिखाया।,Lucknow Dussehra,------------------,Hindi,
26th Oct 2023,https://www.vishvasnews.com/viral/fact-check-madhya-pradesh-viral-video-of-young-men-being-given-strange-punishment-share-as-lucknow/,"Fact Check: युवकों को अजीब सजा दिए जाने का वीडियो मध्य प्रदेश का है, लखनऊ का नहीं",https://twitter.com/nitinsinghabhay/status/1717001324896928144,X User- NITIN SINGH (अभय),लखनऊ में दशहरे के मेले में भोंपू बजाकर उधम मचाने वाले मनचलों को पुलिस ने उनके तरीके से सबक सिखाया।,Lucknow Dussehra,NA,Hindi,
10th May 2023,https://www.vishvasnews.com/viral/fact-check-maharana-pratap-weapons-weight-false-claim-viral/,Fact Check: महाराणा प्रताप के हथियारों के वजन को लेकर फिर से फर्जी दावा वायरल,https://www.facebook.com/HARSH5719/posts/pfbid02nF3UCfb5dThFMuLRxPR7pX4NTtQGpNhFCUTQLcdhoLw35bB22pm538ko3HjXTWYl,FB User- देवेंद्र सिंह,महाराणा प्रताप 208 किलो का वजन लेकर लड़ते थे। उनका भाला 81 किलो और कवच 72 किलो का था।,Weapons,Maharana Pratap,Hindi,
10th May 2023,https://www.vishvasnews.com/viral/fact-check-maharana-pratap-weapons-weight-false-claim-viral/,Fact Check: महाराणा प्रताप के हथियारों के वजन को लेकर फिर से फर्जी दावा वायरल,https://www.facebook.com/HARSH5719/posts/pfbid02nF3UCfb5dThFMuLRxPR7pX4NTtQGpNhFCUTQLcdhoLw35bB22pm538ko3HjXTWYl,FB User- देवेंद्र सिंह,महाराणा प्रताप 208 किलो का वजन लेकर लड़ते थे। उनका भाला 81 किलो और कवच 72 किलो का था।,Maharana Pratap Weapons,Maharana Pratap,Hindi,
10th May 2023,https://www.vishvasnews.com/viral/fact-check-maharana-pratap-weapons-weight-false-claim-viral/,Fact Check: महाराणा प्रताप के हथियारों के वजन को लेकर फिर से फर्जी दावा वायरल,https://www.facebook.com/HARSH5719/posts/pfbid02nF3UCfb5dThFMuLRxPR7pX4NTtQGpNhFCUTQLcdhoLw35bB22pm538ko3HjXTWYl,FB User- देवेंद्र सिंह,महाराणा प्रताप 208 किलो का वजन लेकर लड़ते थे। उनका भाला 81 किलो और कवच 72 किलो का था।,Maharana Pratap Weapons,Maharana Pratap,Hindi,
27th Sep 2023,https://www.vishvasnews.com/viral/fact-check-mahatma-gandhis-picture-is-being-tampered-with-girl/,Fact Check: महात्मा गांधी की तस्वीर को एडिट कर गलत दावे के साथ किया जा रहा है वायरल,https://www.facebook.com/photo?fbid=180341321750560&set=a.104378492680177,FB User: Avishek Kumar,दावा किया जा रहा है कि गांधी जी के सामने कोई लड़की बैठी है,Mahatma Gandhi\\\\\\\'s photo with girl,Mahatma Gandhi,Hindi,
27th Jun 2023,https://www.vishvasnews.com/viral/fact-check-mainpuri-old-image-used-with-false-claim-of-lucknow-retire-colonel-suicide/,Fact Check: मैनपुरी की तीन साल पुरानी फोटो को रिटायर कर्नल की खुदकुशी की मनगढ़ंत कहानी के साथ किया जा रहा शेयर,https://www.facebook.com/SocialWorkerAbhishek/posts/pfbid035pCre53XiRd4XNMJPXLDnpZraDwDMB5UFH9kRoTUMiMQ91WeEMVNzjaEDayap7pEl,FB User- अभिषेक कुमार,लखनऊ में रिटयर कर्नल ने अपने बेटों की बेरुखी से तंग आकर खुद को गोली मारकर आत्‍महत्‍या कर ली।,Lucknow Retire Colonel,Milap Singh Yadav,Hindi,
27th Jun 2023,https://www.vishvasnews.com/viral/fact-check-mainpuri-old-image-used-with-false-claim-of-lucknow-retire-colonel-suicide/,Fact Check: मैनपुरी की तीन साल पुरानी फोटो को रिटायर कर्नल की खुदकुशी की मनगढ़ंत कहानी के साथ किया जा रहा शेयर,https://www.facebook.com/SocialWorkerAbhishek/posts/pfbid035pCre53XiRd4XNMJPXLDnpZraDwDMB5UFH9kRoTUMiMQ91WeEMVNzjaEDayap7pEl,FB User- अभिषेक कुमार,लखनऊ में रिटयर कर्नल ने अपने बेटों की बेरुखी से तंग आकर खुद को गोली मारकर आत्‍महत्‍या कर ली।,Lucknow Retire Colonel,NA,Hindi,
20th Apr 2023,https://www.vishvasnews.com/viral/fact-check-malayalam-actress-anicka-vikhraman-images-viral-with-false-communal-angle/,Fact Check: मलयालम अभिनेत्री अनिका की तस्‍वीरें मनगढ़ंत दावे के साथ सांप्रदायिक रंग देकर वायरल,https://www.facebook.com/PushpendraKulshresth/posts/pfbid0eS8Ah8fLFdEMR6XRe1pwNvSRNSosJn7qiP793w2UZb4sCmJrwwXKkFm2JinxueT4l,FB User- Pushpendra Kulshresth Fans,अंगिकता विजय नाम की हिन्दू लड़की को मुस्लिम युवक से प्‍यार हो गया। बाद में युवक ने युवती की बुरी तरह पिटाई की।,Kerala,NA,Hindi,
