Story Date,Story URL,Headline,Claim URL,Claimed By,What (Claim),About Subject,About Person,Language,Image
20th Jan 2023,https://www.vishvasnews.com/english/politics/fact-check-old-photo-of-pm-modi-sonia-gandhi-goes-viral-with-misleading-claim/,"Fact Check: Old photo of PM Modi, Sonia Gandhi goes viral with misleading claim",https://www.facebook.com/md.iquebal.31/posts/pfbid02fdCjC8AsCpiVr6u8uHh8bN4nDUSEqsNjHJCWmQLKQojpTBFUoao58hwQudQSeDjWl,Fb user: Mohammad Iquebal,"Congress, BJP secret meeting",Political,Narendra Modi and Sonia Gandi,English,
20th Jan 2023,https://www.vishvasnews.com/english/politics/fact-check-old-photo-of-pm-modi-sonia-gandhi-goes-viral-with-misleading-claim/,"Fact Check: Old photo of PM Modi, Sonia Gandhi goes viral with misleading claim",https://www.facebook.com/md.iquebal.31/posts/pfbid02fdCjC8AsCpiVr6u8uHh8bN4nDUSEqsNjHJCWmQLKQojpTBFUoao58hwQudQSeDjWl,Fb user: Mohammad Iquebal,"Congress, BJP secret meeting",Political,Narendra Modi and Sonia Gandi,English ,
8th Sep 2023,https://www.vishvasnews.com/english/politics/fact-check-old-video-of-prime-minister-modi-circulating-with-misleading-claims-about-india-alliance/,Fact Check: Old Video Of Prime Minister Modi Circulating With Misleading Claims About INDIA Alliance,https://www.facebook.com/permalink.php?story_fbid=pfbid021MdxqBn9CnwRzwC1WBLXAQ9BjjtJbxtZP2xTTGYYkh32NvUeg52S6QKYUsZMvmVhl&id=100027466985904,Facebook user Rajesh Kumar,PM Narendra Modi sought votes for India Alliance,Modi ji sought votes for India Alliance,"Facebook by user ‘Rajesh Kumar’,",English,
8th Sep 2023,https://www.vishvasnews.com/english/politics/fact-check-old-video-of-prime-minister-modi-circulating-with-misleading-claims-about-india-alliance/,Fact Check: Old Video Of Prime Minister Modi Circulating With Misleading Claims About INDIA Alliance,https://www.facebook.com/permalink.php?story_fbid=pfbid021MdxqBn9CnwRzwC1WBLXAQ9BjjtJbxtZP2xTTGYYkh32NvUeg52S6QKYUsZMvmVhl&id=100027466985904,Facebook user Rajesh Kumar,PM Narendra Modi sought votes for India Alliance,Modi ji sought votes for India Alliance,"Facebook by user ‘Rajesh Kumar’,",English ,
9th Oct 2023,https://www.vishvasnews.com/english/politics/fact-check-people-seen-fighting-in-video-were-members-of-tdp-fake-claim-regarding-jsp-viral/,"Fact Check: People Seen Fighting In Video Were Members Of TDP, Fake Claim Regarding JSP Viral",https://www.facebook.com/jashuva.maxwell.9/videos/338438055225968,"Facebook user 'Jashuva Maxwell' (Archive) shared the video on October 5, with the caption,",Fight between TDP and JSP leaders in Kakinada,Huge fight between TDP and JSP leaders in Kakinada,Facebook user ‘Jashuva Maxwell’,English,
9th Oct 2023,https://www.vishvasnews.com/english/politics/fact-check-people-seen-fighting-in-video-were-members-of-tdp-fake-claim-regarding-jsp-viral/,"Fact Check: People Seen Fighting In Video Were Members Of TDP, Fake Claim Regarding JSP Viral",https://www.facebook.com/jashuva.maxwell.9/videos/338438055225968,"Facebook user 'Jashuva Maxwell' (Archive) shared the video on October 5, with the caption,",Fight between TDP and JSP leaders in Kakinada,Huge fight between TDP and JSP leaders in Kakinada,Facebook user ‘Jashuva Maxwell’,English ,
12th Jul 2023,https://www.vishvasnews.com/english/politics/fact-check-phone-number-launched-to-support-bjp-viral-with-misleading-claim-about-ucc/,Fact Check: Phone Number Launched To Support BJP Viral With Misleading Claim About UCC,https://www.facebook.com/groups/6175888542451256/posts/23910591598554344,Facebook user ‘Yogi Supporters Group’,Hindus who wish to express their support for the Uniform Civil Code should give a missed call to \'9090902024\',If you can’t fill Uniform Civil Code (UCC) support form online then give a missed call on this number 9090902024 and show your unity Hindu brothers and sisters.,Facebook user ‘Yogi Supporters Group’,English,
12th Jul 2023,https://www.vishvasnews.com/english/politics/fact-check-phone-number-launched-to-support-bjp-viral-with-misleading-claim-about-ucc/,Fact Check: Phone Number Launched To Support BJP Viral With Misleading Claim About UCC,https://www.facebook.com/groups/6175888542451256/posts/23910591598554344,Facebook user ‘Yogi Supporters Group’,Hindus who wish to express their support for the Uniform Civil Code should give a missed call to \'9090902024\',If you can’t fill Uniform Civil Code (UCC) support form online then give a missed call on this number 9090902024 and show your unity Hindu brothers and sisters.,Facebook user ‘Yogi Supporters Group’,English ,
23rd Jun 2023,https://www.vishvasnews.com/english/politics/fact-check-photo-from-indian-cricketer-prasidh-krishnas-wedding-going-viral-with-false-claims/,Fact Check: Photo From Indian Cricketer Prasidh Krishna’s Wedding Going Viral With False Claims,https://www.facebook.com/photo?fbid=3399790873595337&set=a.1899780230263083&locale=en_GB,Facebook User Ravi Ravindra,Photograph from the wedding of Finance Minister Nirmala Sitharaman\'s daughter.,Nirmla Sitaraman daughter wedding,Nirmala Sitaraman,English,
23rd Jun 2023,https://www.vishvasnews.com/english/politics/fact-check-photo-from-indian-cricketer-prasidh-krishnas-wedding-going-viral-with-false-claims/,Fact Check: Photo From Indian Cricketer Prasidh Krishna’s Wedding Going Viral With False Claims,https://www.facebook.com/photo?fbid=3399790873595337&set=a.1899780230263083&locale=en_GB,Facebook User Ravi Ravindra,Photograph from the wedding of Finance Minister Nirmala Sitharaman\'s daughter.,Nirmla Sitaraman daughter wedding,Nirmala Sitaraman,English ,
23rd Jun 2023,https://www.vishvasnews.com/english/politics/fact-check-photo-of-injured-woman-breastfeeding-child-is-unrelated-to-ongoing-manipur-violence/,Fact Check: Photo Of Injured Woman Breastfeeding Child Is Unrelated to Ongoing Manipur Violence,1.67E+18,Twitter User Namaste Bharat,Photo related to Manipur violance,One of the saddest and most painful pictures I have seen till date during the Manipur crisis.,Twitter user ‘Namaste Bharat’,English,
23rd Jun 2023,https://www.vishvasnews.com/english/politics/fact-check-photo-of-injured-woman-breastfeeding-child-is-unrelated-to-ongoing-manipur-violence/,Fact Check: Photo Of Injured Woman Breastfeeding Child Is Unrelated to Ongoing Manipur Violence,1.67E+18,Twitter User Namaste Bharat,Photo related to Manipur violance,One of the saddest and most painful pictures I have seen till date during the Manipur crisis.,Twitter user ‘Namaste Bharat’,English ,
25th Oct 2023,https://www.vishvasnews.com/english/politics/fact-check-pm-modi-did-not-appeal-to-vote-for-congress-viral-video-is-edited/,"Fact Check: PM Modi Did Not Appeal To Vote For Congress, Viral Video Is Edited",https://www.instagram.com/reel/CykmMZGrK0n/,"Instagram handle, Ganesh Ram",PM Modi appealed to vote for Congress,Political,Narendra Modi,English,
25th Oct 2023,https://www.vishvasnews.com/english/politics/fact-check-pm-modi-did-not-appeal-to-vote-for-congress-viral-video-is-edited/,"Fact Check: PM Modi Did Not Appeal To Vote For Congress, Viral Video Is Edited",https://www.instagram.com/reel/CykmMZGrK0n/,"Instagram handle, Ganesh Ram",PM Modi appealed to vote for Congress,Political,Narendra Modi,English ,
